team_id,forecast_date,team_name,team_seed,team_region,playin_flag,team_alive,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,win_odds,timestamp
96,2015-03-19,Kentucky,1,Midwest,0,1,1,0.999000987,0.940680256,0.855976648,0.732434616,0.535532304,0.413463226,1.418594777,54:13.4
2363,2015-03-19,Manhattan,16a,Midwest,1,0,0,0,0,0,0,0,0,--,54:13.4
2261,2015-03-19,Hampton,16b,Midwest,1,1,1,0.000999013,0.000100512,1.20E-05,1.10E-06,5.30E-08,4.24E-09,235970214.7,54:13.4
2132,2015-03-19,Cincinnati,8,Midwest,0,1,1,0.53688702,0.034181745,0.017288711,0.007185959,0.002070152,0.000737469,1354.988654,54:13.4
2509,2015-03-19,Purdue,9,Midwest,0,1,1,0.46311298,0.025037487,0.012099071,0.00477981,0.001385703,0.000496931,2011.350644,54:13.4
277,2015-03-19,West Virginia,5,Midwest,0,1,1,0.682463058,0.391825247,0.052809929,0.025237141,0.007449738,0.00269668,369.8263574,54:13.4
2084,2015-03-19,Buffalo,12,Midwest,0,1,1,0.317536942,0.130247881,0.010026974,0.003489188,0.000660142,0.000164841,6065.467736,54:13.4
120,2015-03-19,Maryland,4,Midwest,0,1,1,0.717329757,0.382712018,0.046530787,0.02102112,0.005806928,0.001987671,502.1014721,54:13.4
2674,2015-03-19,Valparaiso,13,Midwest,0,1,1,0.282670243,0.095214854,0.005255884,0.001487428,0.000280619,7.01E-05,14267.6772,54:13.4
2086,2015-03-19,Butler,6,Midwest,0,1,1,0.455061867,0.178993399,0.078636375,0.012614824,0.004699837,0.00207699,480.4659753,54:13.4
251,2015-03-19,Texas,11,Midwest,0,1,1,0.544938133,0.234595102,0.107203937,0.018172384,0.005677207,0.002159577,462.0535808,54:13.4
87,2015-03-19,Notre Dame,3,Midwest,0,1,1,0.899272914,0.565706816,0.322751551,0.076401511,0.031242744,0.014846967,66.35382392,54:13.4
111,2015-03-19,Northeastern,14,Midwest,0,1,1,0.100727086,0.020704683,0.003586315,0.000182607,1.74E-05,2.45E-06,408809.1082,54:13.4
2724,2015-03-19,Wichita State,7,Midwest,0,1,1,0.715652527,0.360058896,0.174446757,0.033399026,0.011594402,0.004811072,206.8538946,54:13.4
84,2015-03-19,Indiana,10,Midwest,0,1,1,0.284347473,0.090279897,0.03437827,0.004723327,0.001412517,0.00052003,1921.967444,54:13.4
2305,2015-03-19,Kansas,2,Midwest,0,1,1,0.889897492,0.527615529,0.275046144,0.058652409,0.022486143,0.010124812,97.76726493,54:13.4
166,2015-03-19,New Mexico State,15,Midwest,0,1,1,0.110102508,0.022045678,0.00395065,0.000217551,2.57E-05,4.34E-06,230404.1705,54:13.4
275,2015-03-19,Wisconsin,1,West,0,1,1,0.984445021,0.852739564,0.629545024,0.324853852,0.146671746,0.095832081,9.434918964,54:13.4
324,2015-03-19,Coastal Carolina,16,West,0,1,1,0.015554979,0.00305844,0.000400532,2.55E-05,1.38E-06,1.70E-07,5877448.814,54:13.4
2483,2015-03-19,Oregon,8,West,0,1,1,0.406109461,0.047751494,0.020138603,0.004845263,0.000579376,0.000138399,7224.510186,54:13.4
197,2015-03-19,Oklahoma State,9,West,0,1,1,0.593890539,0.096450501,0.038600809,0.00868408,0.001356214,0.00040275,2481.929622,54:13.4
8,2015-03-19,Arkansas,5,West,0,1,1,0.760941357,0.282446532,0.075030596,0.020145278,0.004048599,0.001467065,680.6331622,54:13.4
2747,2015-03-19,Wofford,12,West,0,1,1,0.239058643,0.042526294,0.003683026,0.000361925,3.08E-05,5.58E-06,179203.6002,54:13.4
153,2015-03-19,North Carolina,4,West,0,1,1,0.860863805,0.624220937,0.226494761,0.08075293,0.02437073,0.012009738,82.26576326,54:13.4
108,2015-03-19,Harvard,13,West,0,1,1,0.139136195,0.050806236,0.00610665,0.000805677,8.59E-05,1.87E-05,53348.18343,54:13.4
2752,2015-03-19,Xavier,6,West,0,1,1,0.567156902,0.266361286,0.047093679,0.012874147,0.002905562,0.001155015,864.7892649,54:13.4
252,2015-03-19,Brigham Young,11a,West,1,0,0,0,0,0,0,0,0,--,54:13.4
145,2015-03-19,Ole Miss,11b,West,1,1,1,0.432843098,0.178782475,0.026057388,0.006094023,0.00096553,0.000291045,3434.900041,54:13.4
239,2015-03-19,Baylor,3,West,0,1,1,0.758454213,0.465939445,0.123998557,0.047116958,0.010570444,0.00416563,239.0597202,54:13.4
2247,2015-03-19,Georgia State,14,West,0,1,1,0.241545787,0.088916794,0.007885667,0.001215374,0.000135357,3.06E-05,32670.96793,54:13.4
